!   160.00 1094   0.2998        100.0        48.00        300.0        0.000        43.00        0.000    
  131  -5.3255E+04    0.000      -1.4260E+04
  132  -3.9033E+04    0.000      -1.2743E+04
  133  -2.9653E+04    0.000      -1.1302E+04
  134  -1.6766E+04    0.000       -9207.    
  135    5599.        0.000       -4866.    
  136   2.1877E+04    0.000       -606.4    
  137   3.2017E+04    0.000        2643.    
  138   4.8007E+04    0.000        6922.    
  139   5.9006E+04    0.000       1.0971E+04
  140   5.6903E+04    0.000       1.2643E+04
  141   5.5785E+04    0.000       1.3792E+04
  142   5.4181E+04    0.000       1.4860E+04
  143   3.9072E+04    0.000       1.3374E+04
  144   2.1459E+04    0.000       1.0374E+04
  145   1.0011E+04    0.000        7928.    
  146   -8573.        0.000        4177.    
  147  -3.0996E+04    0.000       -1102.    
  148  -4.1938E+04    0.000       -5030.    
  149  -5.0461E+04    0.000       -8227.    
  150  -6.3002E+04    0.000      -1.2252E+04
  151  -6.3795E+04    0.000      -1.4628E+04
  152  -5.4576E+04    0.000      -1.4601E+04
  153  -4.9708E+04    0.000      -1.4637E+04
  154  -3.9203E+04    0.000      -1.3717E+04
  155  -1.6671E+04    0.000      -1.0039E+04
  156    955.1        0.000       -6093.    
  157   1.4182E+04    0.000       -2742.    
  158   3.5735E+04    0.000        2257.    
  159   5.3009E+04    0.000        7423.    
  160   5.7145E+04    0.000       1.0403E+04
  161   6.3129E+04    0.000       1.3176E+04
  162   6.8176E+04    0.000       1.6008E+04
  163   5.7633E+04    0.000       1.6052E+04
  164   4.3439E+04    0.000       1.4384E+04
  165   3.4165E+04    0.000       1.3068E+04
  166   1.4780E+04    0.000        9895.    
  167  -1.0647E+04    0.000        4622.    
  168  -2.5453E+04    0.000        353.1    
  169  -3.9802E+04    0.000       -3688.    
  170  -5.9869E+04    0.000       -9114.    
  171  -6.7633E+04    0.000      -1.3066E+04
  172  -6.4977E+04    0.000      -1.4692E+04
  173  -6.6847E+04    0.000      -1.6560E+04
  174  -6.1147E+04    0.000      -1.7295E+04
  175  -4.0795E+04    0.000      -1.4819E+04
  176  -2.4206E+04    0.000      -1.1788E+04
  177   -9956.        0.000       -8942.    
  178   1.5845E+04    0.000       -3727.    
  179   3.8655E+04    0.000        2159.    
  180   4.8878E+04    0.000        6169.    
  181   6.2769E+04    0.000       1.0488E+04
  182   7.6009E+04    0.000       1.5209E+04
  183   7.1916E+04    0.000       1.7046E+04
  184   6.3533E+04    0.000       1.7133E+04
  185   5.9189E+04    0.000       1.7524E+04
  186   4.1498E+04    0.000       1.5546E+04
  187   1.5248E+04    0.000       1.0888E+04
  188   -1470.        0.000        6886.    
  189  -2.0461E+04    0.000        2507.    
  190  -4.7820E+04    0.000       -3995.    
  191  -6.2886E+04    0.000       -9344.    
  192  -6.7860E+04    0.000      -1.2617E+04
  193  -7.8491E+04    0.000      -1.6546E+04
  194  -8.0013E+04    0.000      -1.9339E+04
  195  -6.4367E+04    0.000      -1.8569E+04
  196  -5.1673E+04    0.000      -1.7089E+04
  197  -3.9131E+04    0.000      -1.5447E+04
  198  -1.1097E+04    0.000      -1.0651E+04
  199   1.5708E+04    0.000       -4607.    
  200   3.1017E+04    0.000       -47.06    
  201   5.2948E+04    0.000        5546.    
  202   7.5420E+04    0.000       1.2111E+04
  203   7.9272E+04    0.000       1.5852E+04
  204   7.8991E+04    0.000       1.8010E+04
  205   8.2555E+04    0.000       2.0647E+04
